target,model,RMSE,R2,model_takeaway,final_story
cpi_all_items,LagLinear,0.7827560506310909,0.9943508745661408,Lag structure dominates short-horizon prediction.,Step 6: strongest macro path is Oil -> Gas; shocks move through energy/risk before CPI. Step 7: Transportation is the most sensitive category around major events.
fed_funds,GPRLinear,0.1886805726238406,0.9817068107241969,Linear geopolitical-macro structure is useful.,Step 6: strongest macro path is Oil -> Gas; shocks move through energy/risk before CPI. Step 7: Transportation is the most sensitive category around major events.
gas_retail,LagLinear,0.22215115352161852,0.7472634065268804,Lag structure dominates short-horizon prediction.,Step 6: strongest macro path is Oil -> Gas; shocks move through energy/risk before CPI. Step 7: Transportation is the most sensitive category around major events.
oil_wti,LagLinear,5.751390101263471,0.794450562921738,Lag structure dominates short-horizon prediction.,Step 6: strongest macro path is Oil -> Gas; shocks move through energy/risk before CPI. Step 7: Transportation is the most sensitive category around major events.
unemployment_rate,LagLinear,0.18268770846624938,0.6370356196567407,Lag structure dominates short-horizon prediction.,Step 6: strongest macro path is Oil -> Gas; shocks move through energy/risk before CPI. Step 7: Transportation is the most sensitive category around major events.
usd_index,LagLinear,1.5242228844353434,0.7196209234919917,Lag structure dominates short-horizon prediction.,Step 6: strongest macro path is Oil -> Gas; shocks move through energy/risk before CPI. Step 7: Transportation is the most sensitive category around major events.
vix,LagLinear,3.3500178986248383,0.5558953124606425,Lag structure dominates short-horizon prediction.,Step 6: strongest macro path is Oil -> Gas; shocks move through energy/risk before CPI. Step 7: Transportation is the most sensitive category around major events.
