target,window,model,RMSE,R2,RMSE_LagLinear,R2_LagLinear,delta_RMSE_vs_LagLinear,delta_R2_vs_LagLinear
cpi_all_items,full_test,GPRLinear,0.9453354616256326,0.9917605115299195,0.7827560506310909,0.9943508745661408,0.16257941099454176,-0.002590363036221288
cpi_all_items,full_test,GPRBoosting,34.78071562509039,-10.153351217421172,0.7827560506310909,0.9943508745661408,33.997959574459294,-11.147702091987313
fed_funds,full_test,GPRLinear,0.1886805726238406,0.9817068107241969,0.19036311414501403,0.981379100406737,-0.0016825415211734196,0.00032771031745981727
fed_funds,full_test,GPRBoosting,0.5713580320883778,0.8322541707912995,0.19036311414501403,0.981379100406737,0.3809949179433637,-0.14912492961543755
gas_retail,full_test,GPRLinear,0.2660933829911637,0.6373905382547261,0.22215115352161852,0.7472634065268804,0.04394222946954518,-0.10987286827215426
gas_retail,full_test,GPRBoosting,0.35646478727980374,0.34926486991759087,0.22215115352161852,0.7472634065268804,0.13431363375818522,-0.3979985366092895
oil_wti,full_test,GPRBoosting,5.78551867655186,0.7920038768028064,5.751390101263471,0.794450562921738,0.03412857528838842,-0.002446686118931618
oil_wti,full_test,GPRLinear,6.948183462173913,0.7000055674878347,5.751390101263471,0.794450562921738,1.1967933609104415,-0.09444499543390328
unemployment_rate,full_test,GPRLinear,0.5711907346390507,-2.5481964664792383,0.18268770846624938,0.6370356196567407,0.3885030261728013,-3.185232086135979
unemployment_rate,full_test,GPRBoosting,0.6656941007958783,-3.8194199117332266,0.18268770846624938,0.6370356196567407,0.48300639232962894,-4.456455531389968
usd_index,full_test,GPRLinear,1.6257557086495462,0.681023109008096,1.5242228844353434,0.7196209234919917,0.10153282421420284,-0.038597814483895654
usd_index,full_test,GPRBoosting,6.310859280738657,-3.806463384713763,1.5242228844353434,0.7196209234919917,4.786636396303313,-4.526084308205755
vix,full_test,GPRLinear,4.149685814214156,0.31856955253857655,3.3500178986248383,0.5558953124606425,0.799667915589318,-0.23732575992206595
vix,full_test,GPRBoosting,5.159997342059366,-0.053634683336644784,3.3500178986248383,0.5558953124606425,1.809979443434528,-0.6095299957972873
cpi_all_items,recent_test_2018plus,GPRLinear,0.9453354616256326,0.9917605115299195,0.7827560506310909,0.9943508745661408,0.16257941099454176,-0.002590363036221288
cpi_all_items,recent_test_2018plus,GPRBoosting,34.78071562509039,-10.153351217421172,0.7827560506310909,0.9943508745661408,33.997959574459294,-11.147702091987313
fed_funds,recent_test_2018plus,GPRLinear,0.1886805726238406,0.9817068107241969,0.19036311414501403,0.981379100406737,-0.0016825415211734196,0.00032771031745981727
fed_funds,recent_test_2018plus,GPRBoosting,0.5713580320883778,0.8322541707912995,0.19036311414501403,0.981379100406737,0.3809949179433637,-0.14912492961543755
gas_retail,recent_test_2018plus,GPRLinear,0.2660933829911637,0.6373905382547261,0.22215115352161852,0.7472634065268804,0.04394222946954518,-0.10987286827215426
gas_retail,recent_test_2018plus,GPRBoosting,0.35646478727980374,0.34926486991759087,0.22215115352161852,0.7472634065268804,0.13431363375818522,-0.3979985366092895
oil_wti,recent_test_2018plus,GPRBoosting,5.78551867655186,0.7920038768028064,5.751390101263471,0.794450562921738,0.03412857528838842,-0.002446686118931618
oil_wti,recent_test_2018plus,GPRLinear,6.948183462173913,0.7000055674878347,5.751390101263471,0.794450562921738,1.1967933609104415,-0.09444499543390328
unemployment_rate,recent_test_2018plus,GPRLinear,0.5711907346390507,-2.5481964664792383,0.18268770846624938,0.6370356196567407,0.3885030261728013,-3.185232086135979
unemployment_rate,recent_test_2018plus,GPRBoosting,0.6656941007958783,-3.8194199117332266,0.18268770846624938,0.6370356196567407,0.48300639232962894,-4.456455531389968
usd_index,recent_test_2018plus,GPRLinear,1.6257557086495462,0.681023109008096,1.5242228844353434,0.7196209234919917,0.10153282421420284,-0.038597814483895654
usd_index,recent_test_2018plus,GPRBoosting,6.310859280738657,-3.806463384713763,1.5242228844353434,0.7196209234919917,4.786636396303313,-4.526084308205755
vix,recent_test_2018plus,GPRLinear,4.149685814214156,0.31856955253857655,3.3500178986248383,0.5558953124606425,0.799667915589318,-0.23732575992206595
vix,recent_test_2018plus,GPRBoosting,5.159997342059366,-0.053634683336644784,3.3500178986248383,0.5558953124606425,1.809979443434528,-0.6095299957972873
